date,open,high,low,close,volume,weekday,day,month,sma_14,ema_14,macd,adx,rsi,stoch,roc,obv,mfi,bb_bbm,bb_bbh,bb_bbl,atr,ret1,mov1
1984-10-12,0.0890794,0.0896707,0.0845459,0.0851571,315442482,4,12,10,0.09303125714285713,0.09275584757504153,-0.0029873021245920978,0.0,22.790281204280745,3.441809653059763,-11.853499584923084,-901400890,22.61331832476357,0.09586359,0.10642816889040543,0.08529901110959456,0.003055684061453271,0.05493959291697875,1
1984-10-15,0.0899665,0.0908731,0.0899665,0.0899665,288699227,0,15,10,0.09247233571428572,0.092383934565036,-0.002940007373999104,0.0,38.66862200825121,30.524661985234946,-6.875267833298484,-612701663,32.6446056112117,0.09498991500000001,0.10440849108691995,0.08557133891308007,0.003245706628492323,-0.0032933074814209262,0
1984-10-16,0.0899665,0.0902817,0.0896707,0.0896707,140069672,1,16,10,0.09197677142857143,0.09202216995636454,-0.002893045305882108,21.179272623510876,38.14897553731242,40.467466835123254,-4.802211603486839,-752771335,27.391421049520886,0.09429715000000001,0.10312187335781697,0.08547242664218305,0.0030575132978857282,0.03964602535011833,1
1984-10-17,0.0932972,0.0939084,0.0932972,0.0932972,185900013,2,17,10,0.09174024285714286,0.0921921739621826,-0.002533989038202039,20.945265032393,47.46940277232715,72.54843443010269,1.3160623899797275,-566871322,33.77882417348724,0.09389116,0.10209347418671587,0.08568884581328413,0.0031418123480367473,0.028535177853724763,1
1984-10-18,0.0959978,0.0966086,0.0959978,0.0959978,293324793,3,18,10,0.09186907857142858,0.09269959076722492,-0.002008367300980321,19.855380256065192,53.13324412878807,94.93645701211166,3.5725806886655436,-273546529,44.70570398212224,0.09360535,0.10106185252316731,0.0861488474768327,0.0031539257517484084,0.0,0
1984-10-19,0.0959978,0.10262,0.0956921,0.0959978,387032462,4,19,10,0.09214854285714287,0.0931393519982616,-0.001573668021949276,19.533079282615,53.13324412878807,63.36083124470925,1.914875772474063,113485933,53.9521759485646,0.09336389,0.10015215456523317,0.08657562543476684,0.0034234953409092365,-0.00648991224179896,0
1984-10-22,0.0959978,0.0974956,0.0953768,0.0953768,136188449,0,22,10,0.09234070714285714,0.09343767839849339,-0.001264696586560865,19.142227974349822,51.64814922085751,59.924975517453134,0.0,-22702516,49.249142088063635,0.09313721999999999,0.09931091784346466,0.08696352215653533,0.003330302816558577,0.02197188648358549,1
1984-10-23,0.0974956,0.0984022,0.0974956,0.0974956,221256360,1,23,10,0.09257652857142858,0.0939787346120276,-0.0008391913698142656,18.983534356140872,56.1514049100326,71.64782755434572,4.500027867931733,198553844,50.6819837179644,0.09312243,0.0992527225734748,0.08699213742652522,0.0033085240439472497,0.009255912751489466,1
1984-10-24,0.0984022,0.0996047,0.0984022,0.0984022,198208267,2,24,10,0.09279262857142856,0.0945685299970906,-0.0004239335348154849,19.105412361948975,57.95579360397787,76.6638449494027,5.471761210411458,396762111,51.584068162523664,0.09321210999999999,0.09959120358950001,0.08683301641049997,0.003222850897951018,-0.03723890145453702,0
1984-10-25,0.0984022,0.0984022,0.0948052,0.0948052,187707720,3,25,10,0.09290034285714287,0.09460008599747852,-0.0003806980967416135,18.11930561168669,49.28941794775768,56.76243907027187,2.6134693356250556,209054391,50.35122268158975,0.09312194,0.09935577275309823,0.08688810724690177,0.003249575833811659,-0.02579901820642117,0
1984-10-26,0.0948052,0.0948052,0.0920853,0.0923906,136294736,4,26,10,0.09283558571428571,0.09430548786448138,-0.0005351034019915185,17.154053109355893,44.48097574307791,43.4029910202998,3.0332092868685057,72759655,49.125400014167525,0.093031765,0.09925311621152151,0.0868104137884785,0.0032117418456822553,0.00319758902771822,1
1984-10-29,0.0926865,0.0932972,0.0926865,0.0926865,60105810,0,29,10,0.09285672142857145,0.09408962281588387,-0.0006263736166233214,16.257747214334437,45.18667764737064,45.04014031127418,4.049308818873951,132865465,50.4776767797921,0.093061825,0.09927038996039948,0.08685326003960052,0.003047088856704951,0.013097008183584988,1
1984-10-30,0.0939084,0.0948052,0.0939084,0.0939084,88523813,1,30,10,0.09315941428571428,0.09406545977376603,-0.0005932699543932662,15.193678780630806,48.11932898004096,51.800642908913886,10.27665338533135,221389278,59.40675314239025,0.09312292,0.0993395519294615,0.08690628807053849,0.0029807753669403116,-0.006529742397345818,0
1984-10-31,0.0939084,0.0948052,0.0932972,0.0932972,71483650,2,31,10,0.09346068571428572,0.09396302513726389,-0.0006093298206871767,14.187088928088963,46.77133957552857,48.41900841535678,3.702155802437565,149905628,62.39488642785819,0.09307807500000001,0.09927606319259123,0.08688008680740879,0.0028755771264445756,0.006529742397345925,1
1984-11-01,0.0939084,0.0948052,0.0939084,0.0939084,55825803,3,1,11,0.09408577857142857,0.0939557417856287,-0.0005662117122771232,13.25239835072868,48.33013431687864,32.72532105982561,4.725846904284228,205731431,70.5427146118478,0.09300465499999999,0.09912630153062393,0.08688300846937605,0.002777893045984249,-0.006529742397345818,0
1984-11-02,0.0939084,0.0941941,0.0926865,0.0932972,32857483,4,2,11,0.09432368571428572,0.09386793621421154,-0.0005747338585396083,12.76112535770346,46.85252018789567,28.00537480790461,0.0,172873948,65.85922245778872,0.093004655,0.09912630153062395,0.08688300846937606,0.002687157828413945,-0.00656726578623912,0
1984-11-05,0.0932972,0.0953768,0.0926865,0.0926865,125049852,0,5,11,0.09453909999999999,0.09371041138565,-0.0006235778892747235,11.904884736839056,45.36024911020135,5.706854490398489,-3.449349880934761,47824096,71.73091122658266,0.09297412000000001,0.09909571739826137,0.08685252260173865,0.00268738226924152,0.05984033063323995,1
1984-11-06,0.0984022,0.0990135,0.0984022,0.0984022,267405694,1,6,11,0.09490374285714287,0.09433598320089667,-0.0001987864274372586,12.067957598369754,58.63841586303214,59.96278963805325,2.504640731350095,315229790,72.89493711876807,0.0932747,0.09982735386999804,0.08672204613000196,0.0029473549642956972,-0.018395397360929173,0
1984-11-07,0.0984022,0.0990135,0.0966086,0.0966086,274795947,2,7,11,0.09494737142857143,0.09463899877411044,-6.786433947095216e-06,11.623221163292614,54.18825768647056,42.93715055957934,1.2915090462250831,40433843,60.3655984964597,0.093621595,0.10010859298195593,0.08713459701804407,0.0029086081811317186,-0.04144493327231091,0
1984-11-08,0.0966086,0.0966086,0.0926865,0.0926865,104580361,3,8,11,0.09471085,0.09437866560422906,-0.00016915582441552612,11.485935699004035,45.97215543271326,7.995318775434334,-4.9326328572776585,-64146518,49.2424542702566,0.09380195,0.09996633192862839,0.0876375680713716,0.002981000453908024,-0.06003618444846729,0
1984-11-09,0.0926865,0.0932972,0.0863791,0.0872857,349070913,4,9,11,0.09413291428571428,0.09343293685699852,-0.0007252736565555862,12.666235504689611,37.53301495823098,6.854887490926637,-11.297003522278976,-413217431,44.9579469572761,0.09390838,0.09952085821291096,0.08829590178708904,0.0032622218500574507,0.03374813562761515,1
1984-11-12,0.0902817,0.0908731,0.0902817,0.0902817,134407301,0,12,11,0.09361763571428572,0.09301277194273205,-0.0009137161329438731,13.762228181397647,43.70649485354355,29.507924026131178,-4.771362752254095,-278810130,42.31184417811816,0.09392414,0.09949386137163074,0.08835441862836926,0.0032854488607676332,-0.023412856694219136,0
1984-11-13,0.0902817,0.0923906,0.0881925,0.0881925,150330987,1,13,11,0.09288837142857144,0.09237006901703446,-0.0012176033593683938,15.151512513387926,40.68684621704871,14.352877857278479,-4.543860522607289,-429141117,33.41451598806388,0.09385023,0.09967705885079015,0.08802340114920987,0.00335063822785566,0.010006181464304943,1
1984-11-14,0.0890794,0.0899665,0.0890794,0.0890794,123826930,2,14,11,0.09247938571428571,0.09193131314809654,-0.0013710659628705796,16.441562250236043,42.50292832971836,21.37260178560123,-3.891721016545022,-305314187,34.67681832279722,0.09363934,0.09982521353811895,0.08745346646188105,0.0032380212115802566,0.0,0
1984-11-15,0.0890794,0.0899665,0.0890794,0.0890794,126511907,3,15,11,0.09224287142857143,0.09155105806168368,-0.001475675513046129,17.63946557730929,42.50292832971836,21.37260178560123,-5.142244996187774,-178802280,37.2440779026239,0.09329341999999999,0.09968345385674912,0.08690338614325085,0.0030700982678959527,-0.020341460397700854,0
1984-11-16,0.0890794,0.0902817,0.0866846,0.0872857,196719590,4,16,11,0.0918571,0.0909823436534592,-0.0016839049268526501,19.199067698392238,39.65501295520194,7.175647438738628,-6.443387368538395,-375521870,34.85549031367363,0.092857815,0.09962755144310471,0.08608807855689528,0.0031077412487605276,-0.06062276011573536,0
1984-11-19,0.0872857,0.0878871,0.0821514,0.0821514,276497281,0,19,11,0.09101731428571429,0.08980488449966463,-0.0022374316194150035,21.340970750506063,32.866459183593335,0.0,-12.519646804758683,-652019151,28.02105842121027,0.092196545,0.10030435770145654,0.08408873229854347,0.003295452588134775,0.03233878344531011,1
1984-11-20,0.0848515,0.0851571,0.0848515,0.0848515,312411898,1,20,11,0.09041405,0.08914443323304268,-0.0024302159897198333,23.3298807274689,38.799999318589265,16.012833514212325,-9.052468884382384,-339607253,37.651880959711576,0.09156434,0.09988971293973067,0.08323896706026931,0.003274755974696577,0.021373574238991926,1
1984-11-21,0.0866846,0.0872857,0.0866846,0.0866846,212111512,2,21,11,0.0898980642857143,0.08881645546863699,-0.002407332906742443,24.320410332241533,42.514686335681546,26.88395870028051,-6.475484563555646,-127495741,41.20598982925429,0.09097846000000001,0.09893772627935012,0.0830191937206499,0.00321471626221825,0.027251862829134242,1
1984-11-23,0.0878871,0.0902817,0.0878871,0.0890794,162692345,4,23,11,0.08959679285714285,0.0888515147394854,-0.0021709323955010074,24.176125846016244,47.037484243427514,41.086222949691916,-9.474178422840133,35196604,45.24189907505586,0.09069216999999999,0.09849053968990311,0.08289380031009687,0.0032420293863455185,0.009909271968308086,1
