date,open,high,low,close,volume,weekday,day,month,sma_14,ema_14,macd,adx,rsi,stoch,roc,obv,mfi,bb_bbm,bb_bbh,bb_bbl,atr,ret1,mov1
2005-04-04,1.5657,1.5714,1.5157,1.5657,6235873,0,4,4,1.3900000000000001,1.4455107203574629,0.004367998166363796,0.0,67.79876425373119,98.0904522613066,19.51908396946565,13683957,60.61567865164833,1.398285,1.5779568149849887,1.2186131850150113,0.057854227683980554,-0.012856126159204345,0
2005-04-05,1.5029,1.56,1.5014,1.5457,4613182,1,5,4,1.4065285714285716,1.4588692909764678,0.011584256639502577,0.0,63.93209024170864,91.39028475711898,17.606330365974287,9070775,63.440553998311316,1.399925,1.5842890949317412,1.215560905068259,0.05831463999226766,0.02554906803724907,1
2005-04-06,1.5614,1.6,1.5429,1.5857,9058455,2,6,4,1.4262214285714288,1.4757800521796054,0.02029688927071427,39.97331197069218,67.87788582043538,95.6282482421278,20.649775545917986,18129230,70.78072377062794,1.406925,1.6076175995147806,1.2062324004852194,0.058227879992819975,0.012533848360117153,1
2005-04-07,1.5771,1.6243,1.5614,1.6057,7478807,3,7,4,1.4470357142857142,1.4931027118889912,0.028487163961598228,39.10737534854038,69.66484454030363,94.70688673875921,20.729323308270665,25608037,75.62355846835173,1.41571,1.6342611921724521,1.197158807827548,0.0585616028504757,0.0662613620337412,1
2005-04-08,1.6257,1.7386,1.6257,1.7157,24304679,4,8,4,1.4757071428571429,1.5227823503037925,0.0433543345717029,39.55674303261936,77.18306526189743,95.0826712475843,31.260041312829934,49912716,79.6861738522611,1.43085,1.6854967474757925,1.1762032525242074,0.06387148836115601,-0.010016778243471232,0
2005-04-11,1.72,1.72,1.6429,1.6986,7512281,0,11,4,1.5020357142857144,1.5462247035966201,0.05314423365857435,39.97401302497842,74.10821950936081,91.41077947176298,29.377713458755437,42400435,73.67366598225001,1.4484249999999999,1.7250920264053886,1.171757973594611,0.06481638204964486,-0.018718792391923658,0
2005-04-12,1.6729,1.7,1.6614,1.6671,4149873,1,12,4,1.52775,1.5623414097837376,0.057695929710583904,40.36147801788326,68.6803089910083,84.64676830577626,29.23255813953488,38250562,73.19846567913321,1.4639250000000001,1.7528529209422312,1.174997079057769,0.06294378333181308,0.03703581853783941,1
2005-04-13,1.6757,1.7643,1.6714,1.73,9558402,2,13,4,1.5575428571428571,1.5846958884792393,0.06562223368625442,41.290485648495995,72.94204077301218,93.01994301994303,23.827929282084316,47808964,78.0688124274029,1.4847100000000002,1.7870887882772206,1.1823312117227798,0.06539065595096928,-0.010809659507870209,0
2005-04-14,1.7471,1.7471,1.6829,1.7114,6137145,3,14,4,1.5876428571428571,1.6015897700153408,0.06960070849697897,42.15313559120783,69.9125424080078,87.00884086444009,18.60835816757918,41671819,77.41241006275476,1.50478,1.8113654960692045,1.1981945039307955,0.06530560909732862,-0.02448812257315367,0
2005-04-15,1.7971,1.8571,1.65,1.67,14761586,4,15,4,1.6071357142857143,1.6107111340132954,0.06862201259658396,43.702111139348624,63.58255470313422,59.69409737182248,14.04766782763095,26910233,78.25495605965833,1.522565,1.8241150706350444,1.2210149293649555,0.07543377987609087,-0.031262048349199247,0
