date,open,high,low,close,volume,weekday,day,month,sma_14,ema_14,macd,adx,rsi,stoch,roc,obv,mfi,bb_bbm,bb_bbh,bb_bbl,atr,ret1,mov1
1999-06-09,51.5305,52.532,51.0306,52.532,744169.87603639,2,9,6,52.65325,52.87470128824221,-1.1439461777247004,0.0,44.852954396367565,42.98082679643238,-2.9774250564696896,13262556.828152472,47.38595017504039,53.838049999999996,58.43806467454179,49.2380353254582,2.326854648503463,-0.03290429928557476,0
1999-06-10,52.0293,52.0811,50.7847,50.8316,808434.70965769,3,10,6,52.36693571428572,52.60228778314325,-1.2066394834402487,0.0,39.712002722120154,20.127409522763458,-2.9653526772931116,12454122.118494783,47.08895042649999,53.432215,57.56575393475069,49.29867606524931,2.2854578878960723,-0.0019100848410480344,0
1999-06-11,51.2865,51.5784,49.977,50.7346,1179782.4316095,4,11,6,52.123400000000004,52.35326274539082,-1.249745184688166,16.683884823719318,39.43433061155553,18.351730829077162,-1.9359751972506607,11274339.686885282,47.1915929833229,53.03383,56.548366647753134,49.51929335224687,2.2365966101892103,-0.03225226722191156,0
1999-06-14,50.9307,51.3325,48.5236,49.1244,999401.73097164,0,14,6,51.890499999999996,51.92274771267205,-1.3977243502278256,17.467852315199984,35.05279903303236,9.00587600431706,-7.282363333006176,10274937.955913642,49.456281167059494,52.675135,56.24762644786937,49.10264355213062,2.277475423747124,0.024201751954440867,1
1999-06-15,50.4299,50.8316,49.9281,50.3278,1012302.2468567,1,15,6,51.789899999999996,51.71008801764911,-1.4017362394656985,18.195822128717744,40.38404642596034,27.044609665427537,-7.385386015373252,11287240.202770343,57.98873081433655,52.439625,55.97886297214878,48.90038702785122,2.236741464908044,0.03910966574337469,1
1999-06-16,51.2865,52.483,51.2865,52.3351,840196.73279071,2,16,6,51.74363571428571,51.79342294862923,-1.228778759643923,17.85133502376172,48.044998103220784,57.13364911859929,-3.9497349836291904,12127436.935561053,55.11468051104665,52.30448,55.63690003751025,48.972059962489745,2.230917074557469,-0.003867210342434422,0
1999-06-17,51.7362,53.6414,51.7362,52.1331,1163230.0177293,3,17,6,51.58592142857143,51.83871322214533,-1.0953815459984426,16.90020941447643,47.38508663592681,54.1057081184794,1.2676644554734309,10964206.917831752,54.123530173215904,52.131605,55.103412115863996,49.159797884136005,2.2076515692319356,-0.0029160252100670727,0
1999-06-18,51.5305,52.0293,50.9307,51.9813,747207.51234026,4,18,6,51.40692857142857,51.85772479252596,-0.9904944806522877,16.39310358966485,46.86415187041389,59.436183927804,2.457297386793228,10216999.405491492,48.184980431158706,51.98867,54.68817986299363,49.28916013700637,2.1358478857153687,0.0699664656289702,1
1999-06-21,53.4845,56.0905,53.3866,55.7485,2204257.6717834,0,21,6,51.71178571428571,52.37649482018916,-0.5965129396471482,16.32952349755316,58.930861130584326,95.48031558498197,9.245237171422636,12421257.077274892,58.6995864452148,52.068889999999996,55.095389815892915,49.04239018410708,2.276801608164271,-0.021950964155051926,0
1999-06-22,56.2464,56.2464,54.3411,54.5381,1419078.1750923,1,22,6,51.983464285714284,52.66470884416394,-0.37759620023118856,16.327442327646008,54.63759576000107,77.87978453410679,4.009085378528839,11002178.902182592,62.844414519377274,52.176545,55.3878931963032,48.96519680369679,2.25026577900968,-0.04509947626385125,0
1999-06-23,53.7893,54.0864,52.0293,52.1331,1645223.4124669,2,23,6,52.06221428571429,52.59382766494208,-0.39362899755223424,15.237543107652641,47.2688902320023,46.73822965763709,-1.4251193114349934,9356955.489715692,54.12124938935242,52.196389999999994,55.40150757843605,48.991272421563934,2.2687325090804173,0.0010525196737415361,1
1999-06-24,52.9828,53.3386,51.7362,52.188,1714841.0979694,3,24,6,52.04450714285714,52.53971730961647,-0.39732501827325706,14.199625446246845,47.44313950803232,47.44911172113742,2.0718304983306837,11071796.587685091,43.755568098749315,52.15665,55.341424334548655,48.97187566545134,2.2211373298603876,0.0180528929480819,1
1999-06-25,52.532,53.5856,52.4359,53.1387,1352863.4177301,4,25,6,52.0625,52.61958166833428,-0.31985352432791814,13.247774698491728,50.49396951046902,59.75941368415599,1.154915099368011,12424660.005415192,44.66620448126201,52.096529999999994,55.157060997131026,49.03599900286896,2.1623132348703598,0.0046543017951887694,1
1999-06-28,53.2895,54.1441,52.7388,53.3866,954974.89702112,0,28,6,52.223778571428575,52.72185077922305,-0.23573593192826792,12.624526525325667,51.28800916131037,62.96938934065365,5.026400900227417,13379634.902436312,49.681248861257195,52.0415,54.96460319557826,49.118396804421735,2.1082408609510486,0.017721068561524084,1
1999-06-29,52.9348,54.942,52.9348,54.3411,766559.81672026,1,29,6,52.353,52.93775067532664,-0.09100293580969776,12.41130389455473,54.32567706415364,75.32889625524416,7.108561021472519,14146194.719156573,49.836318621413696,52.184529999999995,55.259816946026305,49.109243053973685,2.1010236565974023,0.06424277581320423,1
